source_file,line,tag,attr,link,link_type,status,http_code,note
404.html,6,script,src,https://www.googletagmanager.com/gtag/js?id=G-T48NB5YNN2,external,OK,200,
404.html,21,link,href,https://kamzilu.com/,external,OK,200,
404.html,24,link,href,/favicon.ico,internal,OK,,
404.html,25,link,href,/img/resources/kamzilu/favicon-192.png,internal,OK,,
404.html,26,link,href,/img/resources/kamzilu/favicon-192.png,internal,OK,,
404.html,29,link,href,https://fonts.googleapis.com,external,BROKEN,404,HTTPError 404
404.html,30,link,href,https://fonts.gstatic.com,external,BROKEN,404,HTTPError 404
404.html,31,link,href,https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@400;500;600;700&display=swap,external,OK,200,
404.html,33,link,href,https://fonts.googleapis.com/css2?family=Barlow:wght@300;400;500&display=swap,external,OK,200,
404.html,34,link,href,https://fonts.googleapis.com/css2?family=Ranchers&display=swap,external,OK,200,
404.html,37,link,href,https://fonts.googleapis.com/css2?family=Jersey+25&display=swap,external,OK,200,
404.html,40,link,href,/css/error-404.css,internal,OK,,
404.html,42,script,src,/js/metrics/metrics.js,internal,OK,,
404.html,59,a,href,/,internal,OK,,Resuelto a index.html
404.html,65,a,href,/,internal,OK,,Resuelto a index.html
components\consolas_main.html,7,a,href,/,internal,OK,,Resuelto a index.html
components\consolas_main.html,8,a,href,/consolas/,internal,OK,,Resuelto a index.html
components\consolas_main.html,18,img,src,,skipped,SKIPPED,,Enlace vacío
components\consolas_main.html,60,img,src,,skipped,SKIPPED,,Enlace vacío
components\consolas_main.html,89,a,href,#,skipped,SKIPPED,,Ancla vacía
components\footer.html,4,a,href,/,internal,OK,,Resuelto a index.html
components\footer.html,9,a,href,/legal/aviso-legal.html,internal,OK,,
components\footer.html,10,a,href,/legal/politica-privacidad.html,internal,OK,,
components\footer.html,11,a,href,/legal/politica-cookies.html,internal,OK,,
components\header.html,3,a,href,/,internal,OK,,Resuelto a index.html
components\header.html,11,a,href,/consolas/nintendo/nintendo-switch-2+mario-kart-bundle/index.html,internal,OK,,
components\header.html,12,a,href,/consolas/nintendo/nintendo-switch-lite-yellow/index.html,internal,OK,,
components\header.html,13,a,href,/consolas/nintendo/nintendo-switch-oled-blanco/index.html,internal,OK,,
components\header.html,20,a,href,/consolas/playstation/playstation-5-slim-blanco-estandar-1tb/index.html,internal,OK,,
components\header.html,21,a,href,/consolas/playstation/playstation-5-pro-digital-2tb/index.html,internal,OK,,
components\header.html,28,a,href,/consolas/xbox/xbox-series-s/index.html,internal,OK,,
components\header.html,29,a,href,/consolas/xbox/xbox-series-x-negro-1tb/index.html,internal,OK,,
components\header.html,30,a,href,/consolas/xbox/xbox-series-x-blanco-1tb/index.html,internal,OK,,
components\header.html,47,a,href,/consolas/nintendo/nintendo-switch-2+mario-kart-bundle/index.html,internal,OK,,
components\header.html,48,a,href,/consolas/nintendo/nintendo-switch-lite-yellow/index.html,internal,OK,,
components\header.html,49,a,href,/consolas/nintendo/nintendo-switch-oled-blanco/index.html,internal,OK,,
components\header.html,58,a,href,/consolas/playstation/playstation-5-slim-blanco-estandar-1tb/index.html,internal,OK,,
components\header.html,59,a,href,/consolas/playstation/playstation-5-pro-digital-2tb/index.html,internal,OK,,
components\header.html,68,a,href,/consolas/xbox/xbox-series-s/index.html,internal,OK,,
